id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
23064,47,"г Сосновый Бор, Улица Парковая, д. 6",16 КВАРТАЛ,59.9079,29.0796,Типовой,2019-06-19,19.0,766.0,39881.63,0,Панель,7,0.0,B,,,
26500,47,"д Большие Томики, улица Воскресенская, блок-секция 7-8, 9-10",47 ТРЕСТ,59.7764,30.0273,Комфорт,2020-05-15,2.0,18.0,1764.78,0,Другое,2,0.0,C,,,
26663,47,"п Аннино, ул. 10-й Пятилетки",47 ТРЕСТ,59.7726,30.0492,Комфорт,2019-10-07,10.0,234.0,9241.75,0,Монолит-кирпич,2,0.0,C,60001.0,,
21002,47,"г Всеволожск, улица Коралловская, д. 1",4Д КОНСТРАКШН,60.0202,30.651,Комфорт,2021-08-23,7.0,55.0,2780.6,0,Монолит-кирпич,7,28.0,B,69838.0,"2,7",7.0
21001,47,"г Всеволожск, улица Коралловская, д. 1",4Д КОНСТРАКШН,60.0203,30.6507,Комфорт,2021-08-23,7.0,60.0,2959.4,0,Монолит-кирпич,7,40.0,B,73728.0,"2,7",7.0
23679,47,д Агалатово,84 ВЫСОТА,60.2153,30.3072,Типовой,2019-12-05,6.0,36.0,1597.0,0,Блоки,3,0.0,B,58317.0,"2,73",168.0
23678,47,д Агалатово,84 ВЫСОТА,60.2156,30.3073,Типовой,2019-12-05,6.0,36.0,1597.0,0,Блоки,3,0.0,B,60412.0,"2,73",168.0
23681,47,д Агалатово,84 ВЫСОТА,60.2156,30.308,Типовой,2020-03-24,6.0,30.0,1613.25,0,Блоки,3,0.0,B,54820.0,"2,73",168.0
23680,47,д Агалатово,84 ВЫСОТА,60.2155,30.3086,Типовой,2021-12-10,6.0,30.0,1613.25,0,Блоки,3,0.0,B,54221.0,"2,73",168.0
23682,47,д Агалатово,84 ВЫСОТА,60.2152,30.3089,Типовой,2022-06-30,10.0,54.0,2748.15,0,Блоки,3,0.0,B,54859.0,"2,73",168.0
23683,47,д Агалатово,84 ВЫСОТА,60.215,30.3083,Типовой,2021-09-16,10.0,54.0,2748.15,0,Блоки,3,0.0,B,62199.0,"2,73",168.0
23684,47,д Агалатово,84 ВЫСОТА,60.2149,30.3076,Типовой,2020-03-24,10.0,54.0,2748.15,0,Блоки,3,0.0,B,54412.0,"2,73",168.0
23494,47,"гп Янино-1, улица 7-ая линия, вл. Участок 1",А-ЛЕКС,59.9454,30.5612,Типовой,2022-12-31,13.0,251.0,10991.85,0,Кирпич,5,0.0,B,38582.0,"2,55",35.0
25133,47,"д Вартемяги, ул Колхозная, д. 4Б",АГЕНТСТВО РАЗВИТИЯ ТЕРРИТОРИЙ,60.1809,30.324,Комфорт,2021-12-15,3.0,22.0,991.25,0,Кирпич,3,0.0,A,64698.0,"2,8 - 3",10.0
19457,47,"г Сертолово, Микрорайон Сертолово-1, улица Ларина",АВЕНЮ,60.1449,30.2122,Комфорт,2023-03-31,17.0,166.0,9944.7,0,Монолит-кирпич,7,96.0,C,61929.0,"2,75",2.0
31939,47,"г Всеволожск, Коралловская, д. 16",АЕМА ДЕВЕЛОПМЕНТ,60.0198,30.653,Комфорт,2020-10-16,6.0,60.0,3606.3,0,Монолит,6,0.0,B,83411.0,,
26430,47,"поселок Мурино, бульвар Петровский",АКВАМАРИН,60.0572,30.437,Другое,2018-09-17,13.0,836.0,32994.3,0,Другое,7,0.0,Не нормируется,,,
2376,47,"д Старая, переулок Школьный, строение Поз.4 по Генплану, блок-секция 1",АКВАТЕРН,59.9324,30.6403,Типовой,2021-04-28,13.0,132.0,5500.3,0,Панель,5,0.0,B,53550.0,"2,6 - 2,65",50.0
28742,47,"г Всеволожск, улица Шевченко, д. 12, корпус 1",АЛЬТАИР,60.0329,30.6528,Другое,2018-09-19,6.0,55.0,3511.5,0,Монолит-кирпич,6,0.0,A,,,
28746,47,"г Всеволожск, улица Шевченко, д. 12, корпус 5",АЛЬТАИР,60.0327,30.654,Другое,2018-09-19,6.0,51.0,3508.5,0,Монолит-кирпич,6,0.0,A,,,
28743,47,"г Всеволожск, улица Шевченко, д. 12, корпус 2",АЛЬТАИР,60.0324,30.6529,Другое,2018-09-19,6.0,50.0,3500.0,0,Монолит-кирпич,7,0.0,A,,,
28744,47,"г Всеволожск, улица Шевченко, д. 12, корпус 3",АЛЬТАИР,60.0321,30.653,Другое,2018-09-19,6.0,55.0,3511.5,0,Монолит-кирпич,7,0.0,A,,,
28745,47,"г Всеволожск, улица Шевченко, д. 12, корпус 4",АЛЬТАИР,60.0324,30.6534,Другое,2018-09-19,6.0,51.0,3508.5,0,Монолит-кирпич,7,0.0,A,,,
17683,47,"Колтуши, участок кадастровый №47:07:1047002:969",АЛЬТАИР-ИНВЕСТ,59.9246,30.6353,Комфорт,2019-03-25,5.0,80.0,4287.2,0,Монолит-кирпич,5,0.0,B,,,
40012,47,"д Колтуши, д. 5",АЛЬТАИР-ИНВЕСТ,59.9249,30.6382,Комфорт,2019-12-30,5.0,36.0,1985.2,0,Монолит-кирпич,5,0.0,C,,"2,75",0.0
40011,47,"д Колтуши, д. 6",АЛЬТАИР-ИНВЕСТ,59.9252,30.6388,Комфорт,2019-12-30,5.0,36.0,1985.2,0,Монолит-кирпич,5,0.0,C,,"2,75",0.0
40013,47,"д Колтуши, улица Чудесная, д. 4",АЛЬТАИР-ИНВЕСТ,59.9246,30.6374,Комфорт,2019-03-25,5.0,36.0,1985.2,0,Монолит-кирпич,5,0.0,C,,"2,75",0.0
40014,47,"д Колтуши, улица Чудесная, д. 7, корпус 2",АЛЬТАИР-ИНВЕСТ,59.9252,30.6372,Комфорт,2019-03-25,5.0,80.0,4499.2,0,Монолит-кирпич,5,0.0,C,,"2,75",0.0
45772,47,г Сосновый Бор,АЛЬФАСТРОЙИНВЕСТ,59.8931,29.0963,Типовой,2022-09-30,10.0,0.0,0.0,0,Монолит-кирпич,7,0.0,A,,,29.0
21856,47,"город Мурино, бульвар Воронцовский",АЛЬЯНС,60.2177,30.6769,Другое,2018-04-18,,2042.0,66364.05,0,Другое,1,0.0,Не нормируется,,,
25220,47,п Щеглово,АНДРОМЕДА,60.0307,30.7491,Другое,2018-08-31,6.0,359.0,14784.77,0,Монолит-кирпич,3,0.0,C,,,
16754,47,"г Кировск, ул Советская, д. 41",АРГО-ИНВЕСТ,59.8773,31.0052,Типовой,2018-02-16,9.0,176.0,6339.2,0,Другое,6,103.0,A,,,
16842,47,г Кировск,АРГО-ИНВЕСТ,59.8784,31.0049,Типовой,2019-11-19,10.0,262.0,8572.95,0,Монолит-кирпич,6,0.0,B,54612.0,,
33379,47,"г. Кудрово, корпус 1",АРСЕНАЛ ГРУПП,59.9096,30.5174,Комфорт,2019-08-15,19.0,107.0,5474.23,0,Другое,7,0.0,B,,,
17831,47,п Бугры,АРСЕНАЛ ГРУПП,60.0635,30.4021,Комфорт,2019-03-22,13.0,505.0,21892.62,0,Другое,7,0.0,B,,,
