id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,price_avg,infrastructure_index,parking_count,energy_eff,ceiling_height,guest_parking_count
30315,50,"село Озерецкое, д. 1",10 КВАРТАЛ,56.0744,37.3767,Комфорт,2019-12-31,2.0,4,246.8,0,Кирпич,90761.0,1,0.0,B,,
25000,50,"село Озерецкое, д. 26",10 КВАРТАЛ,56.0765,37.372,Комфорт,2021-01-12,5.0,64,3502.0,0,Кирпич,,2,0.0,B,"2,7",29.0
30316,50,"село Озерецкое, д. 2",10 КВАРТАЛ,56.0742,37.377,Комфорт,2019-12-31,2.0,4,246.8,0,Кирпич,90761.0,1,0.0,B,,
25001,50,"село Озерецкое, россия, д. 28",10 КВАРТАЛ,56.0753,37.3734,Комфорт,2021-02-11,5.0,74,3253.8,0,Кирпич,,2,0.0,B,"2,7",24.0
30317,50,"село Озерецкое, д. 3",10 КВАРТАЛ,56.0741,37.3773,Комфорт,2019-12-31,2.0,4,246.8,0,Кирпич,90761.0,1,0.0,B,,
25002,50,"село Озерецкое, д. 30",10 КВАРТАЛ,56.0758,37.3721,Комфорт,2022-01-10,5.0,98,5487.8,0,Кирпич,75441.0,2,0.0,B,"2,7",38.0
30318,50,"село Озерецкое, д. 4",10 КВАРТАЛ,56.074,37.3776,Комфорт,2019-12-31,2.0,4,246.8,0,Кирпич,90761.0,1,0.0,B,,
30319,50,"село Озерецкое, д. 5",10 КВАРТАЛ,56.0739,37.3779,Комфорт,2019-12-31,2.0,4,246.8,0,Кирпич,90761.0,1,0.0,B,,
30320,50,"село Озерецкое, д. 6",10 КВАРТАЛ,56.0737,37.3782,Комфорт,2019-12-31,2.0,4,246.8,0,Кирпич,87520.0,1,0.0,B,,
30322,50,"село Озерецкое, д. 8",10 КВАРТАЛ,56.0739,37.3766,Комфорт,2019-12-31,2.0,4,299.6,0,Кирпич,80106.0,1,0.0,B,,
30327,50,"село Озерецкое, д. 13",10 КВАРТАЛ,56.0737,37.3762,Комфорт,2019-12-31,2.0,4,299.6,0,Кирпич,82042.0,1,0.0,B,,
30321,50,"село Озерецкое, д. 7",10 КВАРТАЛ,56.0741,37.3763,Комфорт,2019-12-31,2.0,4,299.6,0,Кирпич,80907.0,1,0.0,B,,
30328,50,"село Озерецкое, д. 14",10 КВАРТАЛ,56.0735,37.3767,Комфорт,2019-12-31,2.0,4,404.0,0,Кирпич,,1,0.0,C,,
30324,50,"село Озерецкое, д. 10",10 КВАРТАЛ,56.0737,37.3772,Комфорт,2019-12-31,2.0,4,299.6,0,Кирпич,80106.0,1,0.0,B,,
30323,50,"село Озерецкое, д. 9",10 КВАРТАЛ,56.0739,37.3769,Комфорт,2019-12-31,2.0,4,299.6,0,Кирпич,80106.0,1,0.0,B,,
