id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
16720,77,"город Москва, район Донской, улица Вавилова, вл. 4",3-Й ТАКСОМОТОРНЫЙ ПАРК,55.7088,37.5903,Другое,2019-01-29,16.0,301.0,31557.93,0,Другое,10.0,9,370.0,Не нормируется,,,
14005,77,"г Москва, район Пресненский, улица Сергея Макеева, вл. 9",7-Й ТАКСОМОТОРНЫЙ ПАРК,55.7615,37.549,Элитный,2017-10-31,21.0,954.0,89351.6,0,Монолит-кирпич,9.0,9,1027.0,B,,,
16983,77,"п Коммунарка, д. 6",А101,55.5653,37.4921,Комфорт,2019-02-12,17.0,115.0,6518.9,0,Монолит-кирпич,3.0,8,0.0,C,97392.0,,
19537,77,"п Коммунарка, д. 1, корпус 1.1",А101,55.5508,37.5103,Комфорт,2019-06-03,16.0,184.0,9974.2,0,Монолит-кирпич,2.0,9,0.0,C,84441.0,,
7507,77,"г Москва, район Крюково, улица Радио",А101,55.965,37.1933,Комфорт,2019-10-09,18.0,126.0,7451.7,0,Монолит-кирпич,1.0,5,0.0,C,79506.0,,
7952,77,"п Коммунарка, д. 2, корпус 2.2",А101,55.5508,37.5092,Комфорт,2019-07-23,16.0,213.0,11173.9,0,Монолит-кирпич,1.0,9,0.0,C,100639.0,,
11249,77,"п Коммунарка, д. 2, корпус 3",А101,55.5503,37.5089,Комфорт,2019-11-14,16.0,75.0,3974.6,0,Монолит-кирпич,2.0,9,0.0,B,105644.0,,
16900,77,"п Коммунарка, д. 1",А101,55.5669,37.4943,Комфорт,2019-02-12,17.0,123.0,6855.7,0,Монолит-кирпич,3.0,8,0.0,C,90939.0,,
16995,77,"п Коммунарка, д. 9, корпус 9.1",А101,55.5667,37.4959,Комфорт,2019-07-16,11.0,60.0,3848.7,0,Монолит-кирпич,3.0,8,0.0,C,81940.0,,
17116,77,"п Коммунарка, д. 12",А101,55.5659,37.4965,Комфорт,2020-01-10,15.0,796.0,46514.6,0,Монолит-кирпич,3.0,8,331.0,C,97644.0,,
16984,77,"п Коммунарка, д. 7",А101,55.5652,37.4932,Комфорт,2020-01-20,17.0,115.0,6489.9,0,Монолит-кирпич,2.0,8,0.0,C,105179.0,,
22010,77,"п Коммунарка, корпус 18",А101,55.5686,37.4896,Комфорт,2020-04-13,16.0,656.0,36570.9,0,Монолит-кирпич,3.0,8,0.0,C,93020.0,,
17047,77,"п Коммунарка, д. 10, корпус 10.1",А101,55.5674,37.4976,Комфорт,2020-01-09,17.0,210.0,11039.5,0,Монолит-кирпич,3.0,7,0.0,C,86397.0,,
20900,77,"п Коммунарка, д. 14",А101,55.5668,37.4991,Комфорт,2020-11-17,15.0,432.0,25390.1,0,Монолит-кирпич,2.0,7,301.0,C,124032.0,,
18495,77,"п Коммунарка, д. 4, корпус 1",А101,55.5557,37.5139,Комфорт,2020-06-29,15.0,322.0,16493.6,0,Монолит-кирпич,1.0,8,0.0,C,111226.0,,
10380,77,"д Николо-Хованское, д. 1",А101,55.5916,37.4458,Комфорт,2020-08-25,17.0,652.0,39275.8,0,Монолит-кирпич,2.0,5,338.0,C,115793.0,,
22085,77,"п Коммунарка, корпус 19",А101,55.5684,37.496,Комфорт,2019-01-09,16.0,373.0,20546.2,0,Монолит-кирпич,3.0,8,0.0,C,86155.0,,
10379,77,"д Николо-Хованское, д. 3",А101,55.5902,37.4458,Комфорт,2021-03-17,16.0,368.0,24283.8,0,Монолит-кирпич,2.0,5,0.0,C,104656.0,"2,99",82.0
20192,77,"п Коммунарка, д. 20, корпус 1,2,3",А101,55.5642,37.4873,Комфорт,2021-08-06,16.0,770.0,46913.8,0,Монолит-кирпич,2.0,8,456.0,C,112621.0,"2,99",67.0
12066,77,"п Коммунарка, д. 18",А101,55.5634,37.4987,Бизнес,2021-05-31,17.0,592.0,35246.8,0,Монолит-кирпич,2.0,7,392.0,C,111367.0,"3,12",76.0
30975,77,"п Коммунарка, д. 16",А101,55.5646,37.5015,Комфорт,2021-09-27,15.0,432.0,25390.1,0,Монолит-кирпич,2.0,7,300.0,C,132714.0,"2,99",0.0
26986,77,"д Бачурино, д. 5",А101,55.5562,37.5089,Бизнес,2021-12-07,17.0,664.0,39778.7,0,Монолит-кирпич,2.0,6,417.0,C,139529.0,"3,14 - 3,29",48.0
20756,77,"д Николо-Хованское, д. 9, корпус 9.1",А101,55.5893,37.4476,Комфорт,2021-08-20,10.0,104.0,6430.8,0,Монолит-кирпич,3.0,5,0.0,C,123189.0,"2,99",39.0
27473,77,"д Бачурино, д. 7",А101,55.5576,37.5102,Бизнес,2022-01-31,17.0,628.0,39283.4,0,Монолит-кирпич,2.0,5,341.0,C,138303.0,"3,14 - 3,29",14.0
27474,77,"д Бачурино, д. 8",А101,55.558,37.5097,Бизнес,2022-01-26,17.0,839.0,48768.3,0,Монолит-кирпич,1.0,5,388.0,C,148267.0,"3,14 - 3,29",15.0
23010,77,"п Коммунарка, д. 19",А101,55.5631,37.5027,Комфорт,2022-01-19,17.0,670.0,38217.9,0,Монолит-кирпич,2.0,7,335.0,C,124713.0,"3,12 - 3,14",22.0
26194,77,"д Бачурино, д. 6",А101,55.5562,37.5082,Бизнес,2022-03-17,17.0,1101.0,64450.8,0,Монолит-кирпич,2.0,6,672.0,C,131311.0,"3,14 - 3,29",50.0
18496,77,"п Коммунарка, д. 4, корпус 2",А101,55.5543,37.5128,Комфорт,2020-06-29,15.0,637.0,34388.3,0,Монолит-кирпич,2.0,8,0.0,C,105474.0,,
22084,77,"п Коммунарка, корпус 20",А101,55.5694,37.4971,Комфорт,2020-08-04,16.0,325.0,16571.8,0,Монолит-кирпич,3.0,7,0.0,C,85567.0,,
10381,77,"д Николо-Хованское, д. 2",А101,55.5915,37.4479,Комфорт,2020-08-25,17.0,730.0,42586.9,0,Монолит-кирпич,3.0,5,352.0,C,112850.0,,
27476,77,"п Коммунарка, д. 17, корпус 4",А101,55.5632,37.5025,Комфорт,2022-06-30,15.0,99.0,5589.5,0,Монолит-кирпич,2.0,7,0.0,C,200581.0,"2,99",12.0
27475,77,"п Коммунарка, д. 17, корпус 1,2",А101,55.5632,37.5032,Комфорт,2022-03-31,15.0,616.0,36771.1,0,Монолит-кирпич,2.0,7,347.0,C,109450.0,"2,99",37.0
7506,77,"г Москва, район Крюково, улица Радио",А101,55.9655,37.193,Комфорт,2019-10-09,18.0,126.0,7474.4,0,Монолит-кирпич,1.0,5,0.0,C,81896.0,,
16902,77,"п Коммунарка, д. 2",А101,55.5667,37.4933,Комфорт,2019-02-12,17.0,123.0,6855.7,0,Монолит-кирпич,2.0,8,0.0,C,95039.0,,
16996,77,"п Коммунарка, д. 9, корпус 9.2",А101,55.567,37.4966,Комфорт,2019-07-16,17.0,210.0,10991.7,0,Монолит-кирпич,3.0,8,0.0,C,92458.0,,
17046,77,"п Коммунарка, д. 10, корпус 10.2",А101,55.5676,37.4985,Комфорт,2020-01-09,13.0,127.0,6498.1,0,Монолит-кирпич,3.0,7,0.0,C,87579.0,,
17115,77,"п Коммунарка, д. 13",А101,55.565,37.4985,Комфорт,2020-05-20,17.0,456.0,24523.0,0,Монолит-кирпич,2.0,7,0.0,C,95961.0,,
