id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,floors,ceiling_height,price_avg,guest_parking_count
4709,78,"г Санкт-Петербург, шоссе Петергофское, д. 90, корпус 3",47 ТРЕСТ,59.8486,30.1023,Типовой,2018-10-16,111.0,5493.2,0,Другое,1.0,7,0.0,Не нормируется,,,,
21913,78,г Санкт-Петербург,АЗИМУТ,59.939,30.3158,Другое,2019-08-28,589.0,21023.0,0,Другое,7.0,9,0.0,Не нормируется,,,,
3840,78,"г Санкт-Петербург, шоссе Московское, д. 13, литера ЕЗ",АКВИЛОН СПБ,59.8246,30.3381,Типовой,2018-12-24,782.0,29534.05,0,Монолит-кирпич,3.0,7,159.0,C,19.0,,,
13326,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.691,30.4123,Комфорт,2020-12-17,6.0,848.7,0,Монолит-кирпич,1.0,6,0.0,B,2.0,"2,74",82950.0,103.0
28386,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6883,30.4054,Комфорт,2021-11-25,29.0,2049.56,0,Монолит-кирпич,1.0,4,0.0,B,6.0,"2,7 - 3,2",84727.0,147.0
13327,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6909,30.4134,Комфорт,2020-12-17,7.0,900.89,0,Монолит-кирпич,1.0,6,0.0,B,2.0,"2,74",80587.0,103.0
28387,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6886,30.4064,Комфорт,2021-11-25,50.0,3401.95,0,Монолит-кирпич,1.0,5,0.0,B,6.0,"2,7 - 3,2",87149.0,147.0
13329,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6906,30.4136,Комфорт,2020-12-17,8.0,901.23,0,Монолит-кирпич,1.0,6,0.0,B,2.0,"2,74",81388.0,103.0
6379,78,"г Санкт-Петербург, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6906,30.4089,Комфорт,2020-11-02,103.0,6647.79,0,Монолит-кирпич,,5,0.0,B,5.0,"2,7",72699.0,83.0
13324,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6907,30.4116,Комфорт,2020-12-17,6.0,686.35,0,Монолит-кирпич,,6,0.0,B,2.0,"2,74",80367.0,103.0
28385,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6876,30.4072,Комфорт,2021-11-25,60.0,3310.29,0,Монолит-кирпич,1.0,5,0.0,B,6.0,"2,7 - 3,2",87206.0,147.0
13328,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6911,30.4132,Комфорт,2020-12-17,7.0,900.89,0,Монолит-кирпич,1.0,6,0.0,B,2.0,"2,74",79643.0,103.0
13320,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6914,30.4129,Комфорт,2020-12-17,8.0,1020.96,0,Монолит-кирпич,,6,0.0,B,2.0,"2,74",77231.0,103.0
13325,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.691,30.4108,Комфорт,2020-12-17,6.0,685.0,0,Монолит-кирпич,,5,0.0,B,2.0,"2,74",80875.0,103.0
28384,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6873,30.4056,Комфорт,2021-11-25,55.0,3372.54,0,Монолит-кирпич,1.0,4,0.0,B,6.0,"2,7 - 3,2",85694.0,147.0
28388,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6878,30.4047,Комфорт,2021-11-25,35.0,2402.07,0,Монолит-кирпич,1.0,4,0.0,B,6.0,"2,7 - 3,2",86127.0,147.0
13323,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6912,30.412,Комфорт,2020-12-17,6.0,685.0,0,Монолит-кирпич,,6,0.0,B,2.0,"2,74",79276.0,103.0
13322,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6906,30.411,Комфорт,2020-12-17,6.0,686.35,0,Монолит-кирпич,,6,0.0,B,2.0,"2,74",80134.0,103.0
13321,78,"г Пушкин, район Гуммолосары",АЛЕКСАНДРОВСКИЙ КВАРТАЛ,59.6911,30.4114,Комфорт,2020-12-17,6.0,685.0,0,Монолит-кирпич,,5,0.0,B,2.0,"2,74",78978.0,103.0
21889,78,г Санкт-Петербург,АЛЬБАТРОС,60.0326,30.2321,Комфорт,2021-08-17,1566.0,60173.12,0,Монолит-кирпич,7.0,9,111.0,C,20.0,"2,61 - 2,76",90448.0,535.0
21880,78,"г Санкт-Петербург, Пригородный",АЛЬБАТРОС,60.073,30.2366,Комфорт,2019-12-11,720.0,24942.64,0,Монолит-кирпич,2.0,5,40.0,C,19.0,"2,61 - 2,76",81734.0,27.0
